faces,has_text,brightness,vibrancy,contrast,color_variety,red_dominance,sharpness,aspect_ratio,image_name
1,1,0.8374,0.3805,0.2712,0.0,0.0916,1813.2282,1.78,vid_1.jpg
1,0,0.3054,0.7382,0.1965,88.52,0.0043,140.1587,1.78,vid_10.jpg
0,0,1.0,0.0,0.0,0.001,0.0,0.0,1.78,vid_100.jpg
0,0,0.3507,0.2245,0.2412,0.0,0.0479,532.1838,1.78,vid_1000.jpg
6,0,0.3701,0.2953,0.2111,81.906,0.0324,238.2438,1.78,vid_1001.jpg
3,0,0.401,0.3749,0.2346,0.0,0.0843,314.691,1.78,vid_1002.jpg
0,0,0.34,0.2145,0.2048,36.279,0.0091,100.6333,1.78,vid_1003.jpg
0,0,0.3963,0.2347,0.2373,89.176,0.2165,204.1014,1.78,vid_1004.jpg
0,0,0.394,0.3463,0.2615,77.951,0.197,336.4546,1.78,vid_1005.jpg
1,0,0.4006,0.4218,0.2184,0.0,0.0431,209.4059,1.78,vid_1006.jpg
1,0,0.3094,0.2144,0.2049,29.227,0.0425,153.6969,1.78,vid_1007.jpg
0,1,0.3569,0.2057,0.2393,74.829,0.0733,1253.6028,1.78,vid_1008.jpg
0,0,0.332,0.1286,0.2295,23.767,0.0043,127.0901,1.78,vid_1009.jpg
1,0,0.2716,0.3355,0.2079,59.481,0.2207,418.411,1.78,vid_101.jpg
0,0,0.3612,0.2905,0.2378,55.16,0.1216,119.3781,1.78,vid_1010.jpg
0,0,0.3808,0.2067,0.2316,79.968,0.0695,268.798,1.78,vid_1011.jpg
0,1,0.3304,0.3314,0.2255,86.277,0.0656,169.5428,1.78,vid_1012.jpg
0,0,0.3591,0.2416,0.247,73.691,0.0262,225.0146,1.78,vid_1013.jpg
8,1,0.2659,0.4184,0.2238,86.773,0.0859,794.1976,1.78,vid_1014.jpg
0,0,0.2905,0.4383,0.1581,26.223,0.1342,79.7327,1.78,vid_1015.jpg
0,0,0.3675,0.202,0.2339,82.635,0.0105,216.7974,1.78,vid_1016.jpg
3,0,0.2036,0.3495,0.1865,23.022,0.0412,131.7123,1.78,vid_1017.jpg
1,0,0.2791,0.353,0.272,52.532,0.0865,704.454,1.78,vid_1018.jpg
0,0,1.0,0.0,0.0,0.001,0.0,0.0,1.78,vid_1019.jpg
8,1,0.4911,0.3592,0.2821,0.0,0.151,1197.3731,1.78,vid_102.jpg
0,0,0.364,0.3552,0.2582,69.683,0.0699,123.1645,1.78,vid_1020.jpg
1,0,0.3599,0.1916,0.2206,54.05,0.0636,67.805,1.78,vid_1021.jpg
2,1,0.2676,0.2774,0.2144,79.458,0.1935,401.7078,1.78,vid_1022.jpg
1,1,0.3874,0.3728,0.2432,68.815,0.1147,176.6615,1.78,vid_1023.jpg
1,0,0.3747,0.3479,0.2237,93.877,0.3116,204.2427,1.78,vid_1024.jpg
0,0,0.4231,0.37,0.2309,0.0,0.209,227.9221,1.78,vid_1025.jpg
2,0,0.3929,0.2822,0.2321,0.0,0.1111,168.9278,1.78,vid_1026.jpg
0,0,0.4436,0.2967,0.2609,78.637,0.0079,238.8011,1.78,vid_1027.jpg
1,1,0.2819,0.1945,0.2046,61.12,0.003,391.9666,1.78,vid_1028.jpg
