video_id,original_title,cleaned_title,title_polarity,title_subjectivity,title_length_chars,title_length_words,avg_word_length,has_hashtag,hashtag_count,has_question,has_exclamation,has_shorts
vid_1,"Entertainment | Full Movie | Akshay Kumar, Tamannaah Bhatia, Johnny Lever",Entertainment   Full Movie   Akshay Kumar  Tamannaah Bhatia  Johnny Lever,0.35,0.55,73,9,8.11111111111111,0,0,0,0,0
vid_2,"Shathamanam Bhavathi | Telugu Full Movie 2017 | With Subtitles | Sharwanand, Anupama Parameswaran",Shathamanam Bhavathi   Telugu Full Movie 2017   With Subtitles   Sharwanand  Anupama Parameswaran,0.35,0.55,97,11,8.818181818181818,0,0,0,0,0
vid_3,Best scene of movies 🎥Kung fu hustle movie 🎬🔥 #shorts #trending #viral #youtube #attitude,Best scene of movies  Kung fu hustle movie    shorts trending viral youtube attitude,1.0,0.3,84,13,6.461538461538462,1,5,0,0,1
vid_4,Funny iconic scenes from Jackie Chan’ movies #movie #action #jackiechan,Funny iconic scenes from Jackie Chan  movies movie action jackiechan,0.2833333333333333,0.5333333333333333,68,10,6.8,1,3,0,0,0
vid_5,#grwm for a movie #shorts,grwm for a movie shorts,0.0,0.0,23,5,4.6,1,2,0,0,1
vid_6,Ravi Teja & Deeksha Seth New Released Hindi Dubbed Action Movies | Richa Langella Love Story Film,Ravi Teja   Deeksha Seth New Released Hindi Dubbed Action Movies   Richa Langella Love Story Film,0.24545454545454545,0.38484848484848483,97,15,6.466666666666667,0,0,0,0,0
vid_7,Rorschach fixes prison inmates.#shortvideo #film #movie,Rorschach fixes prison inmates shortvideo film movie,0.0,0.0,52,7,7.428571428571429,1,3,0,0,0
vid_8,south movie once upon a time in madras full movie hindi dubbed #short #movie #explain,south movie once upon a time in madras full movie hindi dubbed short movie explain,0.175,0.42500000000000004,82,15,5.466666666666667,1,3,0,0,0
vid_9,One of my favorite movies of all time #movie #shorts,One of my favorite movies of all time movie shorts,0.5,1.0,50,10,5.0,1,2,0,0,1
vid_10,This kid had a notebook with special abilities 😱 #shorts #viral #movies #cinemarecap,This kid had a notebook with special abilities   shorts viral movies cinemarecap,0.35714285714285715,0.5714285714285714,80,12,6.666666666666667,1,4,0,0,1
vid_11,Darshan's KAATERA (2024) New Released Full Hindi Dubbed Movie | Jagapathi Babu |New South Movie 2024,Darshan s KAATERA  2024  New Released Full Hindi Dubbed Movie   Jagapathi Babu  New South Movie 2024,0.20757575757575755,0.4863636363636364,100,16,6.25,0,0,0,0,0
vid_12,Top 10 Most Scariest Movies in the World ||Horror Movies List ||#shorts #shortsfeed #viral,Top 10 Most Scariest Movies in the World   Horror Movies List   shorts shortsfeed viral,0.5,0.5,87,14,6.214285714285714,1,3,0,0,1
vid_13,Confidence for a better voice #viralvideo #movie #funny #funny,Confidence for a better voice viralvideo movie funny funny,0.3333333333333333,0.8333333333333334,58,9,6.444444444444445,1,4,0,0,0
