video_id,title,duration,thumbnail,upload_time,category,view_count,country,subscribers,genre
vid_1,"Entertainment | Full Movie | Akshay Kumar, Tamannaah Bhatia, Johnny Lever",02:18:56,https://i.ytimg.com/vi/LXXkiUKDK4w/default.jpg,2014-09-26T09:38:00Z,1,251630281,India,29000000,Film & Animation
vid_2,"Shathamanam Bhavathi | Telugu Full Movie 2017 | With Subtitles | Sharwanand, Anupama Parameswaran",02:04:00,https://i.ytimg.com/vi/wl7FV1LHcU4/default.jpg,2017-07-13T18:32:24Z,1,120838005,India,5570000,Film & Animation
vid_3,Best scene of movies 🎥Kung fu hustle movie 🎬🔥 #shorts #trending #viral #youtube #attitude,00:00:20,https://i.ytimg.com/vi/OBtiV_EIYC8/default.jpg,2024-12-20T03:16:11Z,22,86605977,India,217000,People & Blogs
vid_4,Funny iconic scenes from Jackie Chan’ movies #movie #action #jackiechan,00:00:58,https://i.ytimg.com/vi/eFteb0BjNKg/default.jpg,2024-12-01T13:00:47Z,1,61342141,United States,124000,Film & Animation
vid_5,#grwm for a movie #shorts,00:01:00,https://i.ytimg.com/vi/TssqS-yNxks/default.jpg,2023-03-22T14:27:00Z,24,59482450,India,14600000,Entertainment
vid_6,Ravi Teja & Deeksha Seth New Released Hindi Dubbed Action Movies | Richa Langella Love Story Film,02:03:40,https://i.ytimg.com/vi/HYa_crNWeso/default.jpg,2024-11-19T13:39:17Z,1,58636492,India,6850000,Film & Animation
vid_7,Rorschach fixes prison inmates.#shortvideo #film #movie,00:00:59,https://i.ytimg.com/vi/qZD4BLiOg-Q/default.jpg,2025-02-14T11:18:00Z,1,56695119,United States,103000,Film & Animation
vid_8,south movie once upon a time in madras full movie hindi dubbed #short #movie #explain,00:00:53,https://i.ytimg.com/vi/PIkXCLER9ic/default.jpg,2025-03-02T15:25:44Z,24,49378540,India,371000,Entertainment
vid_9,One of my favorite movies of all time #movie #shorts,00:00:58,https://i.ytimg.com/vi/2ayoeQp8wLo/default.jpg,2025-02-24T09:56:46Z,22,50608337,UNKNOWN,156000,People & Blogs
vid_10,This kid had a notebook with special abilities 😱 #shorts #viral #movies #cinemarecap,00:00:59,https://i.ytimg.com/vi/cotryhVgIAI/default.jpg,2024-03-30T14:07:27Z,24,43676975,United States,863000,Entertainment
